timestamp,passenger_count,staff_count,active_flights,active_gates,outdoor_dry_bulb_c,outdoor_wet_bulb_c,outdoor_rh_percent,solar_load_percent,lighting_load_kw,equipment_load_kw,ventilation_load_kw,ahu_cooling_demand_percent,chw_supply_temp_c,chw_return_temp_c,calculated_cooling_load_kw,sensor_quality
2026-07-12T00:00:00+06:30,180,102,3,2,27.0,24.0,84.0,0,16,11.08,10.16,38.1,7.0,11.77,79.95,GOOD
2026-07-12T00:10:00+06:30,178,102,3,2,26.98,23.99,84.1,0,16,11.07,10.14,38.0,7.0,11.77,79.76,GOOD
2026-07-12T00:20:00+06:30,176,101,3,2,26.97,23.99,84.1,0,16,11.06,10.11,37.9,7.0,11.76,79.52,GOOD
2026-07-12T00:30:00+06:30,173,101,3,2,26.95,23.98,84.2,0,16,11.04,10.08,37.7,7.0,11.76,79.27,GOOD
2026-07-12T00:40:00+06:30,171,101,3,2,26.93,23.98,84.2,0,16,11.03,10.05,37.7,7.0,11.76,79.08,GOOD
2026-07-12T00:50:00+06:30,169,101,3,2,26.92,23.97,84.3,0,16,11.01,10.03,37.6,7.0,11.75,78.9,GOOD
2026-07-12T01:00:00+06:30,167,101,3,2,26.9,23.97,84.3,0,16,11.0,10.0,37.5,7.0,11.75,78.71,GOOD
2026-07-12T01:10:00+06:30,164,101,3,2,26.88,23.96,84.4,0,16,10.98,9.97,37.4,7.0,11.75,78.46,GOOD
2026-07-12T01:20:00+06:30,162,101,3,2,26.87,23.96,84.4,0,16,10.97,9.94,37.3,7.0,11.74,78.27,GOOD
2026-07-12T01:30:00+06:30,160,100,3,2,26.85,23.95,84.5,0,16,10.96,9.92,37.2,7.0,11.74,78.03,GOOD
2026-07-12T01:40:00+06:30,158,100,3,2,26.83,23.94,84.5,0,16,10.95,9.9,37.1,7.0,11.73,77.84,GOOD
2026-07-12T01:50:00+06:30,156,100,3,2,26.82,23.94,84.6,0,16,10.94,9.87,37.0,7.0,11.73,77.66,GOOD
2026-07-12T02:00:00+06:30,153,100,3,2,26.8,23.93,84.7,0,16,10.92,9.84,36.9,7.0,11.73,77.41,GOOD
2026-07-12T02:10:00+06:30,151,100,3,2,26.78,23.93,84.7,0,16,10.91,9.81,36.8,7.0,11.72,77.22,GOOD
2026-07-12T02:20:00+06:30,149,100,3,2,26.77,23.92,84.8,0,16,10.89,9.79,36.7,7.0,11.72,77.03,GOOD
2026-07-12T02:30:00+06:30,147,100,3,2,26.75,23.92,84.8,0,16,10.88,9.76,36.6,7.0,11.72,76.84,GOOD
2026-07-12T02:40:00+06:30,144,99,3,2,26.73,23.91,84.9,0,16,10.86,9.73,36.4,7.0,11.71,76.54,GOOD
2026-07-12T02:50:00+06:30,142,99,3,2,26.72,23.91,84.9,0,16,10.85,9.7,36.4,7.0,11.71,76.35,GOOD
2026-07-12T03:00:00+06:30,140,99,3,2,26.7,23.9,85.0,0,16,10.84,9.68,36.3,7.0,11.71,76.16,GOOD
2026-07-12T03:10:00+06:30,149,100,3,2,26.68,23.89,85.0,0,16,10.89,9.79,36.5,7.0,11.72,76.73,GOOD
2026-07-12T03:20:00+06:30,158,100,3,2,26.67,23.89,85.1,0,16,10.95,9.9,36.8,7.0,11.72,77.23,GOOD
2026-07-12T03:30:00+06:30,168,101,3,2,26.65,23.88,85.2,0,16,11.01,10.02,37.1,7.0,11.73,77.86,GOOD
2026-07-12T03:40:00+06:30,177,102,3,2,26.63,23.88,85.2,0,16,11.06,10.12,37.3,7.0,11.74,78.42,GOOD
2026-07-12T03:50:00+06:30,186,102,3,2,26.62,23.87,85.3,0,16,11.12,10.23,37.6,7.0,11.75,78.92,GOOD
2026-07-12T04:00:00+06:30,195,103,3,2,26.6,23.87,85.3,0,16,11.17,10.34,37.8,7.0,11.76,79.48,GOOD
2026-07-12T04:10:00+06:30,204,103,3,2,26.58,23.86,85.4,0,16,11.22,10.45,38.1,7.0,11.77,79.99,GOOD
2026-07-12T04:20:00+06:30,213,104,3,2,26.57,23.86,85.4,0,16,11.28,10.56,38.4,7.0,11.78,80.55,GOOD
2026-07-12T04:30:00+06:30,222,104,3,2,26.55,23.85,85.5,0,16,11.33,10.66,38.6,7.0,11.79,81.06,GOOD
2026-07-12T04:40:00+06:30,232,105,3,2,26.53,23.84,85.5,0,16,11.39,10.78,38.9,7.0,11.8,81.68,GOOD
2026-07-12T04:50:00+06:30,241,106,3,2,26.52,23.84,85.6,0,16,11.45,10.89,39.2,7.0,11.81,82.24,GOOD
2026-07-12T05:00:00+06:30,250,106,3,2,26.5,23.83,85.7,0,16,11.5,11.0,39.4,7.0,11.82,82.75,GOOD
2026-07-12T05:10:00+06:30,275,108,3,2,26.67,23.83,85.1,0,16,11.65,11.3,40.4,7.0,11.86,84.92,GOOD
2026-07-12T05:20:00+06:30,300,110,3,2,26.83,23.82,84.5,0,16,11.8,11.6,41.5,7.0,11.89,87.09,GOOD
2026-07-12T05:30:00+06:30,325,111,3,2,27.0,23.82,84.0,0,16,11.95,11.9,42.5,7.0,11.93,89.21,GOOD
2026-07-12T05:40:00+06:30,350,113,3,2,27.17,23.81,83.5,0,16,12.1,12.2,43.5,7.0,11.97,91.39,GOOD
2026-07-12T05:50:00+06:30,375,114,3,2,27.33,23.81,82.9,0,16,12.25,12.5,44.5,7.0,12.0,93.51,GOOD
2026-07-12T06:00:00+06:30,400,116,4,3,27.5,23.8,82.3,0,30,12.4,12.8,52.2,7.0,12.28,109.68,GOOD
2026-07-12T06:10:00+06:30,442,119,4,3,27.67,23.88,81.8,4.4,30,12.65,13.3,54.3,7.0,12.36,114.12,GOOD
2026-07-12T06:20:00+06:30,483,121,4,3,27.83,23.97,81.2,8.7,30,12.9,13.8,56.4,7.0,12.43,118.43,GOOD
2026-07-12T06:30:00+06:30,525,124,4,3,28.0,24.05,80.7,13.1,30,13.15,14.3,58.5,7.0,12.51,122.87,GOOD
2026-07-12T06:40:00+06:30,567,127,4,3,28.17,24.13,80.1,17.4,30,13.4,14.8,60.6,7.0,12.58,127.29,GOOD
2026-07-12T06:50:00+06:30,608,130,4,3,28.33,24.22,79.6,21.6,30,13.65,15.3,62.7,7.0,12.66,131.65,GOOD
2026-07-12T07:00:00+06:30,650,132,4,3,28.5,24.3,79.0,25.9,30,13.9,15.8,64.8,7.0,12.73,136.0,GOOD
2026-07-12T07:10:00+06:30,692,135,5,4,28.78,24.38,78.1,30.1,30,14.15,16.3,67.0,7.0,12.81,140.74,GOOD
2026-07-12T07:20:00+06:30,733,138,5,4,29.06,24.47,77.2,34.2,30,14.4,16.8,69.2,7.0,12.89,145.39,GOOD
2026-07-12T07:30:00+06:30,775,140,5,4,29.33,24.55,76.3,38.3,30,14.65,17.3,71.4,7.0,12.97,150.04,GOOD
2026-07-12T07:40:00+06:30,817,143,5,4,29.61,24.63,75.4,42.3,30,14.9,17.8,73.7,7.0,13.05,154.73,GOOD
2026-07-12T07:50:00+06:30,858,146,5,4,29.89,24.72,74.5,46.2,30,15.15,18.3,75.9,7.0,13.13,159.34,GOOD
2026-07-12T08:00:00+06:30,900,148,5,4,30.17,24.8,73.5,50.0,30,15.4,18.8,78.1,7.0,13.21,163.94,GOOD
2026-07-12T08:10:00+06:30,950,152,6,4,30.44,24.88,72.6,53.7,30,15.7,19.4,80.5,7.0,13.3,169.13,GOOD
2026-07-12T08:20:00+06:30,1000,155,6,4,30.72,24.97,71.7,57.4,30,16.0,20.0,83.0,7.0,13.39,174.24,GOOD
2026-07-12T08:30:00+06:30,1050,158,6,4,31.0,25.05,70.8,60.9,30,16.3,20.6,85.4,7.0,13.47,179.33,GOOD
2026-07-12T08:40:00+06:30,1100,162,6,4,31.28,25.13,69.9,64.3,30,16.6,21.2,87.8,7.0,13.56,184.45,GOOD
2026-07-12T08:50:00+06:30,1150,165,6,4,31.56,25.22,69.0,67.6,30,16.9,21.8,90.2,7.0,13.65,189.49,GOOD
2026-07-12T09:00:00+06:30,1200,168,7,5,31.83,25.3,68.1,70.7,30,17.2,22.4,92.6,7.03,13.73,194.5,GOOD
2026-07-12T09:10:00+06:30,1250,171,7,5,32.11,25.38,67.1,73.7,30,17.5,23.0,95.0,7.05,13.82,199.48,GOOD
2026-07-12T09:20:00+06:30,1300,174,7,5,32.39,25.47,66.2,76.6,30,17.8,23.6,97.3,7.07,13.9,204.42,GOOD
2026-07-12T09:30:00+06:30,1350,178,7,5,32.67,25.55,65.3,79.3,30,18.1,24.2,99.7,7.1,13.99,209.39,GOOD
2026-07-12T09:40:00+06:30,1400,181,7,5,32.94,25.63,64.4,81.9,30,18.4,24.8,100,7.1,14.0,214.28,GOOD
2026-07-12T09:50:00+06:30,1450,184,8,6,33.22,25.72,63.5,84.3,30,18.7,25.4,100,7.1,14.0,219.12,GOOD
2026-07-12T10:00:00+06:30,1500,188,8,6,33.5,25.8,62.5,86.6,30,19.0,26.0,100,7.1,14.0,223.99,GOOD
2026-07-12T10:10:00+06:30,1550,191,8,6,33.64,25.85,62.1,88.7,30,19.3,26.6,100,7.1,14.0,228.29,GOOD
2026-07-12T10:20:00+06:30,1600,194,8,6,33.78,25.9,61.6,90.6,30,19.6,27.2,100,7.1,14.0,232.54,GOOD
2026-07-12T10:30:00+06:30,1650,197,8,6,33.92,25.95,61.2,92.4,30,19.9,27.8,100,7.1,14.0,236.76,GOOD
2026-07-12T10:40:00+06:30,1700,200,9,6,34.06,26.0,60.7,94.0,30,20.2,28.4,100,7.1,14.0,240.94,GOOD
2026-07-12T10:50:00+06:30,1750,204,9,6,34.19,26.05,60.3,95.4,30,20.5,29.0,100,7.1,14.0,245.14,GOOD
2026-07-12T11:00:00+06:30,1800,207,9,6,34.33,26.1,59.8,96.6,30,20.8,29.6,100,7.1,14.0,249.24,GOOD
2026-07-12T11:10:00+06:30,1850,210,9,6,34.47,26.15,59.3,97.6,30,21.1,30.2,100,7.1,14.0,253.3,GOOD
2026-07-12T11:20:00+06:30,1900,214,9,6,34.61,26.2,58.9,98.5,30,21.4,30.8,100,7.1,14.0,257.37,GOOD
2026-07-12T11:30:00+06:30,1950,217,10,7,34.75,26.25,58.4,99.1,30,21.7,31.4,100,7.1,14.0,261.35,GOOD
2026-07-12T11:40:00+06:30,2000,220,10,7,34.89,26.3,58.0,99.6,30,22.0,32.0,100,7.1,14.0,265.28,GOOD
2026-07-12T11:50:00+06:30,2050,223,10,7,35.03,26.35,57.5,99.9,30,22.3,32.6,100,7.1,14.0,269.18,GOOD
2026-07-12T12:00:00+06:30,2100,226,10,7,35.17,26.4,57.1,100.0,30,22.6,33.2,100,7.1,14.0,273.03,GOOD
2026-07-12T12:10:00+06:30,2142,229,10,7,35.31,26.45,56.6,99.9,30,22.85,33.7,100,7.1,14.0,276.34,GOOD
2026-07-12T12:20:00+06:30,2183,232,10,7,35.44,26.5,56.1,99.6,30,23.1,34.2,100,7.1,14.0,279.54,GOOD
2026-07-12T12:30:00+06:30,2225,235,11,8,35.58,26.55,55.7,99.1,30,23.35,34.7,100,7.1,14.0,282.76,GOOD
2026-07-12T12:40:00+06:30,2267,237,11,8,35.72,26.6,55.2,98.5,30,23.6,35.2,100,7.1,14.0,285.89,GOOD
2026-07-12T12:50:00+06:30,2308,240,11,8,35.86,26.65,54.8,97.6,30,23.85,35.7,100,7.1,14.0,288.97,GOOD
2026-07-12T13:00:00+06:30,2350,243,11,8,36.0,26.7,54.3,96.6,30,24.1,36.2,100,7.1,14.0,292.07,GOOD
2026-07-12T13:10:00+06:30,2392,245,11,8,35.89,26.75,54.7,95.4,30,24.35,36.7,100,7.1,14.0,294.32,GOOD
2026-07-12T13:20:00+06:30,2433,248,11,8,35.78,26.8,55.0,94.0,30,24.6,37.2,100,7.1,14.0,296.53,GOOD
2026-07-12T13:30:00+06:30,2475,251,12,9,35.67,26.85,55.4,92.4,30,24.85,37.7,100,7.1,14.0,298.76,GOOD
2026-07-12T13:40:00+06:30,2517,254,12,9,35.56,26.9,55.8,90.6,30,25.1,38.2,100,7.1,14.0,300.95,GOOD
2026-07-12T13:50:00+06:30,2558,256,12,9,35.44,26.95,56.1,88.7,30,25.35,38.7,100,7.1,14.0,302.98,GOOD
2026-07-12T14:00:00+06:30,2600,259,12,9,35.33,27.0,56.5,86.6,30,25.6,39.2,100,7.1,14.0,305.1,GOOD
2026-07-12T14:10:00+06:30,2567,257,12,9,35.22,26.92,56.9,84.3,30,25.4,38.8,100,7.1,14.0,301.91,GOOD
2026-07-12T14:20:00+06:30,2533,255,12,9,35.11,26.83,57.2,81.9,30,25.2,38.4,100,7.1,14.0,298.63,GOOD
2026-07-12T14:30:00+06:30,2500,252,12,9,35.0,26.75,57.6,79.3,30,25.0,38.0,100,7.1,14.0,295.31,GOOD
2026-07-12T14:40:00+06:30,2467,250,11,8,34.89,26.67,58.0,76.6,30,24.8,37.6,100,7.1,14.0,292.02,GOOD
2026-07-12T14:50:00+06:30,2433,248,11,8,34.78,26.58,58.3,73.7,30,24.6,37.2,100,7.1,14.0,288.64,GOOD
2026-07-12T15:00:00+06:30,2400,246,11,8,34.67,26.5,58.7,70.7,30,24.4,36.8,100,7.1,14.0,285.29,GOOD
2026-07-12T15:10:00+06:30,2367,244,11,8,34.56,26.42,59.1,67.6,30,24.2,36.4,100,7.1,14.0,281.9,GOOD
2026-07-12T15:20:00+06:30,2333,242,11,8,34.44,26.33,59.4,64.3,30,24.0,36.0,100,7.1,14.0,278.43,GOOD
2026-07-12T15:30:00+06:30,2300,240,11,8,34.33,26.25,59.8,60.9,30,23.8,35.6,100,7.1,14.0,274.99,GOOD
2026-07-12T15:40:00+06:30,2267,237,11,8,34.22,26.17,60.2,57.4,30,23.6,35.2,100,7.1,14.0,271.47,GOOD
2026-07-12T15:50:00+06:30,2233,235,11,8,34.11,26.08,60.5,53.7,30,23.4,34.8,100,7.1,14.0,267.92,GOOD
2026-07-12T16:00:00+06:30,2200,233,10,7,34.0,26.0,60.9,50.0,30,23.2,34.4,100,7.1,14.0,264.41,GOOD
2026-07-12T16:10:00+06:30,2250,236,11,8,33.75,25.92,61.7,46.2,30,23.5,35.0,100,7.1,14.0,265.97,GOOD
2026-07-12T16:20:00+06:30,2300,240,11,8,33.5,25.83,62.5,42.3,30,23.8,35.6,100,7.1,14.0,267.56,GOOD
2026-07-12T16:30:00+06:30,2350,243,11,8,33.25,25.75,63.4,38.3,30,24.1,36.2,100,7.1,14.0,269.08,GOOD
2026-07-12T16:40:00+06:30,2400,246,11,8,33.0,25.67,64.2,34.2,30,24.4,36.8,100,7.1,14.0,270.59,GOOD
2026-07-12T16:50:00+06:30,2450,249,11,8,32.75,25.58,65.0,30.1,30,24.7,37.4,100,7.1,14.0,272.08,GOOD
2026-07-12T17:00:00+06:30,2500,252,12,9,32.5,25.5,65.8,25.9,30,25.0,38.0,100,7.1,14.0,273.55,GOOD
2026-07-12T17:10:00+06:30,2550,256,12,9,32.25,25.42,66.7,21.6,30,25.3,38.6,100,7.1,14.0,275.08,GOOD
2026-07-12T17:20:00+06:30,2600,259,12,9,32.0,25.33,67.5,17.4,30,25.6,39.2,100,7.1,14.0,276.53,GOOD
2026-07-12T17:30:00+06:30,2650,262,12,9,31.75,25.25,68.3,13.1,30,25.9,39.8,100,7.1,14.0,277.98,GOOD
2026-07-12T17:40:00+06:30,2700,266,12,9,31.5,25.17,69.2,8.7,30,26.2,40.4,100,7.1,14.0,279.48,GOOD
2026-07-12T17:50:00+06:30,2750,269,13,9,31.25,25.08,70.0,4.4,30,26.5,41.0,100,7.1,14.0,280.92,GOOD
2026-07-12T18:00:00+06:30,2800,272,13,9,31.0,25.0,70.8,0.0,30,26.8,41.6,100,7.1,14.0,282.36,GOOD
2026-07-12T18:10:00+06:30,2708,266,12,9,30.83,24.97,71.4,0,30,26.25,40.5,100,7.1,14.0,275.68,GOOD
2026-07-12T18:20:00+06:30,2617,260,12,9,30.67,24.94,71.9,0,30,25.7,39.4,100,7.1,14.0,269.06,GOOD
2026-07-12T18:30:00+06:30,2525,254,12,9,30.5,24.92,72.5,0,30,25.15,38.3,100,7.1,14.0,262.38,GOOD
2026-07-12T18:40:00+06:30,2433,248,11,8,30.33,24.89,73.0,0,30,24.6,37.2,100,7.1,14.0,255.7,GOOD
2026-07-12T18:50:00+06:30,2342,242,11,8,30.17,24.86,73.5,0,30,24.05,36.1,100,7.1,14.0,249.08,GOOD
2026-07-12T19:00:00+06:30,2250,236,11,8,30.0,24.83,74.1,0,30,23.5,35.0,100,7.1,14.0,242.4,GOOD
2026-07-12T19:10:00+06:30,2158,230,10,7,29.83,24.81,74.7,0,30,22.95,33.9,100,7.1,14.0,235.72,GOOD
2026-07-12T19:20:00+06:30,2067,224,10,7,29.67,24.78,75.2,0,30,22.4,32.8,100,7.1,14.0,229.1,GOOD
2026-07-12T19:30:00+06:30,1975,218,10,7,29.5,24.75,75.8,0,30,21.85,31.7,100,7.1,14.0,222.41,GOOD
2026-07-12T19:40:00+06:30,1883,212,9,6,29.33,24.72,76.3,0,30,21.3,30.6,100,7.1,14.0,215.73,GOOD
2026-07-12T19:50:00+06:30,1792,206,9,6,29.17,24.69,76.8,0,30,20.75,29.5,99.6,7.1,13.98,209.11,GOOD
2026-07-12T20:00:00+06:30,1700,200,9,6,29.0,24.67,77.4,0,30,20.2,28.4,96.4,7.06,13.87,202.43,GOOD
2026-07-12T20:10:00+06:30,1608,195,8,6,28.83,24.64,78.0,0,30,19.65,27.3,93.2,7.03,13.76,195.81,GOOD
2026-07-12T20:20:00+06:30,1517,189,8,6,28.67,24.61,78.5,0,30,19.1,26.2,90.1,7.0,13.64,189.19,GOOD
2026-07-12T20:30:00+06:30,1425,183,7,5,28.5,24.58,79.0,0,30,18.55,25.1,86.9,7.0,13.53,182.51,GOOD
2026-07-12T20:40:00+06:30,1333,177,7,5,28.33,24.56,79.6,0,30,18.0,24.0,83.7,7.0,13.41,175.83,GOOD
2026-07-12T20:50:00+06:30,1242,171,7,5,28.17,24.53,80.1,0,30,17.45,22.9,80.6,7.0,13.3,169.21,GOOD
2026-07-12T21:00:00+06:30,1150,165,6,4,28.0,24.5,80.7,0,30,16.9,21.8,77.4,7.0,13.19,162.53,GOOD
2026-07-12T21:10:00+06:30,1058,159,6,4,27.94,24.47,80.9,0,30,16.35,20.7,74.4,7.0,13.08,156.18,GOOD
2026-07-12T21:20:00+06:30,967,153,6,4,27.89,24.44,81.1,0,30,15.8,19.6,71.4,7.0,12.97,149.89,GOOD
2026-07-12T21:30:00+06:30,875,147,5,4,27.83,24.42,81.2,0,30,15.25,18.5,68.4,7.0,12.86,143.54,GOOD
2026-07-12T21:40:00+06:30,783,141,5,4,27.78,24.39,81.4,0,30,14.7,17.4,65.3,7.0,12.75,137.2,GOOD
2026-07-12T21:50:00+06:30,692,135,5,4,27.72,24.36,81.6,0,30,14.15,16.3,62.3,7.0,12.64,130.91,GOOD
2026-07-12T22:00:00+06:30,600,129,4,3,27.67,24.33,81.8,0,16,13.6,15.2,52.6,7.0,12.3,110.56,GOOD
2026-07-12T22:10:00+06:30,565,127,4,3,27.61,24.31,82.0,0,16,13.39,14.78,51.4,7.0,12.25,108.02,GOOD
2026-07-12T22:20:00+06:30,530,124,4,3,27.56,24.28,82.2,0,16,13.18,14.36,50.2,7.0,12.21,105.43,GOOD
2026-07-12T22:30:00+06:30,495,122,4,3,27.5,24.25,82.3,0,16,12.97,13.94,49.0,7.0,12.16,102.89,GOOD
2026-07-12T22:40:00+06:30,460,120,4,3,27.44,24.22,82.5,0,16,12.76,13.52,47.8,7.0,12.12,100.36,GOOD
2026-07-12T22:50:00+06:30,425,118,4,3,27.39,24.19,82.7,0,16,12.55,13.1,46.6,7.0,12.08,97.82,GOOD
2026-07-12T23:00:00+06:30,390,115,4,3,27.33,24.17,82.9,0,16,12.34,12.68,45.3,7.0,12.03,95.23,GOOD
2026-07-12T23:10:00+06:30,355,113,3,2,27.28,24.14,83.1,0,16,12.13,12.26,44.1,7.0,11.99,92.69,GOOD
2026-07-12T23:20:00+06:30,320,111,3,2,27.22,24.11,83.3,0,16,11.92,11.84,42.9,7.0,11.95,90.15,GOOD
2026-07-12T23:30:00+06:30,285,109,3,2,27.17,24.08,83.5,0,16,11.71,11.42,41.7,7.0,11.9,87.62,GOOD
2026-07-12T23:40:00+06:30,250,106,3,2,27.11,24.06,83.6,0,16,11.5,11.0,40.5,7.0,11.86,85.02,GOOD
2026-07-12T23:50:00+06:30,215,104,3,2,27.06,24.03,83.8,0,16,11.29,10.58,39.3,7.0,11.81,82.49,GOOD
